user_id,catb_recommender
11,
12,"[1082185, 981760, 862349, 1058997, 10150194, 995242, 921504, 1070820, 1029743, 1124971, 951590, 1056509, 8205620, 1040807, 826249, 1098066, 1133018, 840361, 898068, 1026984, 1106523, 897295, 1024306, 1006184, 873654, 930118, 1127831]"
13,"[1029743, 6534178, 1082185, 995242, 840361, 951590, 981760, 961554, 1048068, 1038985, 5978648, 5978656, 8090509, 878996, 5591154, 1016709, 914190, 13008321, 1115576, 9803545, 843756, 8090537, 1004906, 923746, 865156, 1058997, 8090513, 859075, 1127624, 1069621, 9913338, 9881593, 1113141, 838602, 931255, 868319, 1126899, 8020234, 1003188, 1011578, 15972298, 950439, 7025326, 849843, 883404, 895743, 981521, 828867, 933067, 925626, 971922, 1070272, 10149640, 883202, 865501, 9859111, 995785, 1029688, 826249, 1067749, 7433888, 1013321, 820291, 1098066, 938700, 850807, 1068708, 9859052, 999971, 862070, 1077490, 1136257, 885290, 922651, 882604, 965766, 914346, 15926775, 940947, 1027168, 959821, 1003178, 834484, 897125, 1070105, 831063, 850645, 898466, 7138817, 1014802, 9859112, 9487606, 973889, 904813, 944836, 1110218, 9677236, 15926712, 860975, 1043187, 1075214, 883932, 5568729, 1048462, 909306, 1033545, 863885, 1022529, 5569230, 1043663, 1069003, 1051781, 1122358, 838097, 866211, 897088, 911454, 1075918, 909338, 9677874, 999714, 865528, 1029684, 979707, 7409974, 902172, 963835, 1079023, 908531, 994928, 1070820, 5568378, 984669, 910473, 916122, 869728, 829001, 1041796, 12385916, 10150194, 15926844, 1055646, 9527325, 870547, 8019977, 1097001, 1071939, 1138467, 1100972, 1044078, 919704, 8090521, 1022097, 1067185, 1064380, 909894, 1056775, 953476, 860776, 5569471, 6979221, 6551782, 893018, 820165, 885697, 1128016, 933060, 1055425, 12810393, 1066725, 833025, 1134522, 9859128, 1110764, 1036249, 5591170, 1101010, 899624, 1138854, 1068719, 998189, 1028953, 1096036, 866227, 906262, 902396, 1031906, 1132771, 5580793, 945611, 999891, 1056509, 1069312, 822739, 1101173, 847270, 930917, 5569845, 885023, 1074754, 943076, 1137344, 1005186, 832678, 857849, 890344, 13115579, 986947, 5569327, 840890, 871756, 1055504, 6551861, 1062966, 859237, 1043590, 951197, 1042942, 7155863, 1034686, 1136375, 952698, 7466252, 1057315, 1069334, 9707240, 892048, 1022003, 1039156, 6463907, 1097422, 862349, 1042438, 929668, 1077600, 863802, 847982, 6034857, 1038217, 9677202, 980727, 1075007, 843171, 1037863, 1137346, 1065593, 1040807, 1006978, 1033142, 901062, 898068, 844179, 1011089, 909130, 919534, 1124729, 1077555, 7168417, 962568, 896369, 8014645, 852856, 844165, 13841744, 1044895, 951071, 1006414, 5578547, 1080414, 5592931, 1033973, 857503, 1011457, 908064, 933835, 986912, 1088873, 976199, 1066289, 907014, 937444, 5585510, 1053690, 941734, 990797, 12188584, 995965, 999858, 1024306, 903800, 1006184, 865178, 834117, 848761, 948953, 879755, 845208, 835098, 12185599, 9707199, 1087755, 5568869, 1112598, 970030, 904360, 893501, 913785, 909714, 864774, 880228, 987562, 916381, 1133018, 913210, 962229, 903325, 1081177, 1027569, 824005, 1119051, 12188045, 827919, 861279, 1092026, 1110572, 1028816, 5569615, 12188436, 1022254, 890610, 1026118, 868764, 910032, 1049788, 883003, 883268, 1106523, 972229, 1051402, 1137688, 983584, 1086384, 854852, 821845, 1048507, 1075368, 1076056, 824303, 1105488, 1051516, 1007195, 893810, 9527290, 9526410, 1085604, 930118, 867188, 1127831, 965267, 1127179, 1098248, 1023720, 952163]"
14,"[995242, 1029743, 981760, 951590, 859075, 1082185, 1044805, 1096036, 1070702, 6464086, 840601, 957063, 899624, 844179, 13841744, 1000753, 5568721, 987562, 951190, 1122358, 1130858, 846823, 1127758, 5568378, 999270, 933067, 989157, 893018, 856060, 897306, 845109, 910673, 1038217, 905868, 950894, 965693, 947858, 1105623, 823704, 1044078, 1091499, 878445, 1038663, 9832469, 1092026, 13876901, 1048462, 833025, 907128, 995311, 836445, 9836106, 6534178, 1025611, 1008673, 16770156, 1082310, 1043590, 1085983, 847982, 837865, 883404, 909894, 1012587, 849843, 869577, 1017363, 1037340, 871756, 5582712, 819063, 862308, 1054262, 1101173, 883963, 988736, 7025114, 923746, 5569471, 5590158, 1125123, 865456, 989069, 942525, 867293, 1062966, 878996, 818981, 1103629, 1015785, 1101858, 826249, 1071342, 1013572, 963727, 857130, 952408, 1135834, 844165, 13512060, 834117, 10344586, 1098066, 904774, 831509, 15596488, 1053690, 850139, 914190, 5591490, 1001266, 1085604, 1136524, 1133018, 861486, 1121384, 1100658, 1062002, 1130716, 861419, 840361, 8067128, 1081177, 1004906, 6034857, 834826, 962229, 832678, 1135552, 889362, 866211, 5569230, 933835, 845208, 992946, 961554, 1106523, 1065593, 995785, 1074271, 1068719, 979707, 834484, 913785, 1006184, 916122, 994928, 9527160, 986912, 860776, 965766, 1058997, 890610, 862349, 978382, 1004270, 908531, 1033142, 1005186, 1070820, 952163, 5978648, 5978656, 854852, 1126899, 962568, 901062, 1022254, 1024306, 903325, 904360, 1127831, 1023720]"
15,"[1082185, 995242, 1029743, 6534178, 8090537, 1106523, 981760, 923746, 845208, 1133018, 865705, 995785, 1070820, 862349, 883404, 979707, 907099, 849843, 878996, 12518330, 13416351, 1037863, 1004906, 1081177, 866211, 826249, 9881592, 9881593, 5569327, 1098066, 860776, 910439, 844179, 916122, 951590, 961554, 994928, 838186, 5569230, 914190, 854852, 5568378, 840361, 903325, 920002, 1026118, 851676, 13417590, 876932, 1082212, 12352204, 5569471, 928036, 5978648, 5978656, 879506, 911614, 15629778, 1119051, 962568, 913806, 857006, 908531, 986912, 833025, 1104343, 1033142, 825994, 1042616, 1034956, 962229, 1065941, 1126808, 859075, 10121981, 1102927, 1053690, 1044078, 976199, 852065, 825541, 991592, 1053530, 845078, 901666, 852856, 847901, 1000970, 13841744, 844165, 1105917, 937573, 925862, 1059902, 13945141, 1065593, 863632, 1068719, 1096036, 871611, 890610, 1024306, 1044404, 904360, 1092026, 1058997, 845307, 1014509, 903800, 1126899, 933637, 1105488, 1098248, 930118, 952163, 965267, 1127831, 7024990]"
16,"[1082185, 1100533, 923149, 1039156, 12263788, 1029743, 981760, 995242, 1035843, 1084551, 1106523, 840361, 9835695, 1133018, 1126899]"
17,"[1082185, 1029743, 995242, 844179, 899624, 845208, 6534178, 981760, 923746, 9245106, 6533362, 1106523, 6533608, 896085, 1010164, 6534077, 835243, 5569230, 1004906, 833025, 6514160, 15926886, 883404, 1133018, 866211, 5569845, 849843, 13877192, 914190, 1056509, 916122, 1099164, 978906, 995785, 871756, 1090931, 863447, 826249, 5568378, 5569471, 1037863, 858373, 1098066, 1044078, 823704, 12301109, 7410168, 838186, 882190, 835098, 7409941, 1039287, 1053016, 1120362, 1034955, 1138854, 826784, 1041796, 840361, 951590, 1132968, 994928, 831628, 962568, 1068719, 908531, 850529, 948670, 860776, 962229, 9707240, 944486, 1044299, 859075, 976199, 1058997, 986912, 961554, 1131438, 1033142, 862866, 1110057, 903325, 1118046, 1096036, 1054080, 861899, 1081177, 5978648, 5978656, 1053690, 1040927, 878996, 1124823, 1070820, 844165, 1057377, 1126899, 1092026, 1020210, 1022827, 867188, 837569, 1046545, 854852, 892503, 862349, 910032, 904360, 1024306, 1127831]"
18,"[1082185, 961554, 979707, 962568, 6534178, 903325, 6034857, 1116821, 916122, 819978, 13071902, 878996, 995242, 840361, 1096343, 1104343, 981760, 951412, 1052912, 832001, 965842, 1137688, 995785, 1028816, 9677886, 824005, 938118, 5978648, 5978656, 870515, 834484, 970030, 854852, 1000237, 866211, 902167, 1018050, 1046262, 1004906, 840227, 9836460, 1057260, 9677236, 925694, 878715, 1134398, 1119051, 1055646, 857503, 897125, 845208, 1029743, 859427, 1047226, 954642, 914577, 859075, 825541, 1037863, 860776, 10457044, 923746, 1058779, 1081177, 835278, 1048257, 1060705, 13877192, 1137775, 829722, 6602327, 873203, 1024306, 914190, 1005186, 9677202, 1131602, 1058997, 5569230, 874972, 1026118, 10285303, 9835509, 1080110, 1081189, 995965, 899624, 1115175, 9837501, 12810393, 1075214, 944486, 990797, 825494, 847982, 5569379, 880150, 1053628, 994928, 925862, 1033142, 1070820, 1136257, 1022254, 938700, 901062, 831628, 866227, 839243, 833025, 961620, 837644, 1008032, 862349, 908531, 870929, 1055201, 883404, 827261, 5568378, 913210, 12754036, 1098066, 849843, 840890, 933835, 880228, 826249, 10282425, 844179, 8090521, 1053690, 965766, 873654, 1038217, 919180, 1040807, 986912, 904360, 951590, 5569471, 1126899, 983584, 12352201, 1068719, 1027569, 1106523, 1133018, 1065593, 8160430, 1006184, 1072968, 8203782, 1044895, 12349795, 1110721, 1003472, 865456, 5592931, 1068943, 1096036, 910032, 844165, 962229, 913785, 1044078, 1092026, 1085604, 7024990, 1023720, 1127831]"
19,"[5568378, 844179, 1082185, 899624, 1029743, 995242, 1133018, 1068719, 833025, 1004906, 859075, 847982, 1106523, 1081177, 981760, 1044078, 1037863, 866211, 1096036, 923746, 840361, 6534178, 916122, 871756, 883404, 1058779, 849843, 827180, 999971, 952317, 1042438, 844165, 965766, 1098066, 826249, 1045220, 1139471, 845208, 930917, 1094955, 918335, 931671, 1043590, 949965, 863447, 835243, 961554, 868423, 909894, 837751, 910673, 1051810, 5569327, 1038746, 1099905, 1096317, 1013321, 938700, 1127758, 1101173, 980666, 1133254, 928049, 1096343, 8090537, 843306, 1071939, 1054262, 882288, 5564931, 1003188, 1118012, 1109948, 8065410, 989069, 1137387, 893018, 879755, 1130458, 839419, 871061, 5570408, 841220, 987724, 1091499, 1013770, 1000236, 13189726, 837304, 5592931, 951190, 823704, 1031083, 1082212, 15741861, 1076875, 831628, 969866, 1002558, 1025611, 12946027, 937292, 994928, 1027168, 995785, 1029624, 1134522, 870547, 927191, 1000753, 1105623, 995876, 905868, 953476, 976998, 1004945, 1027068, 1069621, 12731544, 12648296, 848970, 1009333, 910032, 1118787, 834484, 1070702, 1077490, 1004950, 999104, 832678, 979707, 913785, 962568, 867648, 1068708, 929309, 941741, 882830, 12810393, 962229, 999714, 860776, 1122568, 15926725, 1055646, 855356, 1075470, 819927, 972931, 1110292, 857849, 1003600, 1042907, 1122876, 961458, 874972, 936594, 944534, 943233, 1122115, 8090521, 908318, 976335, 1083446, 891405, 1053058, 1048727, 13008334, 858302, 866292, 944466, 1123146, 1068830, 5569230, 1019247, 1131438, 1092026, 1038217, 911311, 946757, 1024858, 1122358, 12811532, 833715, 1040842, 8090532, 944486, 1103629, 1085333, 12301109, 933067, 1033142, 897125, 986947, 911812, 878445, 5568995, 878996, 820165, 1081262, 15596488, 845622, 1136257, 987562, 940766, 883963, 1022003, 1050229, 1050851, 858373, 1022119, 919948, 1077588, 13945244, 847270, 12810422, 826666, 1110142, 995896, 1097239, 1071342, 961269, 1046587, 9835223, 1053690, 908531, 893501, 1123720, 929668, 5585510, 880150, 999730, 1041796, 908846, 1014238, 16729415, 1138189, 868909, 883932, 885863, 1126870, 1048483, 939900, 990797, 6534480, 865456, 866227, 1074516, 934172, 914190, 12349795, 939636, 1133312, 1076738, 922907, 938138, 976199, 1099089, 1029504, 1043128, 954363, 1115228, 8019716, 1023466, 898068, 999270, 822407, 1074271, 1023815, 5978648, 5978656, 5568249, 12384775, 1106301, 1114597, 936723, 5995609, 948254, 1065593, 871440, 862139, 828867, 934639, 13506200, 1060529, 951590, 1043751, 861279, 8177622, 1074524, 919534, 821970, 1132771, 1020682, 907631, 885290, 1131488, 1028995, 1016276, 1041259, 1053282, 834117, 913210, 1018740, 12132315, 921836, 1132789, 932863, 873964, 1100658, 1003616, 1099656, 5582712, 999858, 1126895, 1101010, 1051211, 1058997, 905996, 1044895, 1019479, 854852, 1087916, 825970, 1136524, 5568860, 1062966, 1044089, 15926638, 15926886, 1005186, 1134810, 5568489, 873627, 15926885, 886703, 983584, 859010, 868764, 12262778, 904360, 1014948, 15596515, 856772, 970119, 819518, 9833277, 916381, 983936, 897954, 907014, 986912, 1102927, 998556, 1085604, 8014645, 1042697, 896369, 883003, 916993, 1137885, 857503, 1110843, 7442180, 952698, 1057260, 860975, 1080414, 13512060, 969932, 1051069, 1055863, 862682, 1093030, 882305, 854405, 1037337, 9245106, 835098, 1124729, 1124432, 9677202, 1070497, 1068292, 949620, 862349, 947798, 1112238, 1132911, 993826, 1107553, 1022254, 834491, 1110057, 900802, 1087753, 8357613, 903325, 6534035, 952163, 1058214, 1127624, 13511457, 1046545, 933835, 1117514, 909349, 5568729, 13841744, 1130375, 982790, 940947, 1139493, 967395, 12263788, 1048200, 5569471, 864774, 1020581, 1087102, 5981072, 901062, 5569374, 993638, 865178, 896613, 6034857, 1056492, 985999, 10149597, 925626, 1000908, 5569845, 860167, 872137, 845307, 933637, 1026118, 1056509, 1076056, 824005, 909714, 971922, 1110572, 1006184, 1044599, 12301405, 15596279, 852856, 1009187, 1022053, 9527494, 9337581, 1102959, 1048462, 870515, 838186, 910473, 1005493, 6534030, 1102949, 9527160, 867188, 1138443, 10204333, 1049788, 1043301, 1070820, 995965, 1028816, 970030, 1075368, 1007195, 1119051, 1051516, 1062002, 1116821, 951412, 8181451, 1137775, 1040807, 1127831, 1024306, 1126899, 965267, 1077555, 1039156, 9527290, 930118, 1027569, 1137688, 890610, 9526410, 1105488, 1098248, 1127179, 1023720, 1057102, 7024990]"
20,"[1058997, 1082185, 1126899, 1055425, 944836, 1039156, 8090536, 1016709, 970119, 6534178, 12384431, 945611, 1017363, 9835509, 840361, 873178, 5568191, 855557, 1123106, 995628, 1002850, 995965, 929018, 13416351, 821556, 897954, 953320, 1075368, 936924, 9836460, 1086740, 1010424, 961554, 1040842, 916122, 1037332, 6633273, 866292, 1070898, 984669, 960528, 9911484, 909268, 910109, 6979803, 897125, 1021694, 923746, 880150, 981760, 979707, 8293447, 1070820, 856827, 862682, 1003616, 848319, 5568228, 862349, 995785, 1115801, 898068, 1069621, 831390, 970202, 834484, 9297575, 1034686, 1031892, 859075, 951590, 1135222, 999858, 5568378, 1081177, 1029743, 901062, 878996, 8090521, 5592931, 5978648, 5978656, 883404, 962568, 893018, 1096036, 8090537, 860776, 5569230, 844179, 849843, 1132911, 1106523, 826249, 994928, 1068719, 1006184, 1098066, 903325, 866211, 6424472, 854852, 1053690, 8293470, 1120559, 1115358, 1004906, 1065593, 1033142, 1133018, 1100658, 899624, 833025, 914190, 1076056, 1044078, 6772859, 995242, 908531, 845208, 1014509, 904360, 986912, 962229, 9526411, 1092026, 1024306, 844165, 1085604, 1127831]"
21,"[1029743, 995242, 1082185, 1058779, 1096036, 981760, 1038217, 883404, 922907, 849843, 918368, 827683, 6534178, 1049735, 896369, 1106301, 826249, 1044078, 947798, 1031864, 1133018, 1038663, 1098066, 986327, 1094308, 8205218, 870547, 1031923, 1113381, 13381584, 1053690, 1024051, 1043590, 1108168, 1013770, 1106523, 844179, 1065593, 1127470, 840361, 844165, 1092026, 923746, 1133877, 9419525, 880895, 1062966, 1050079, 1054424, 859075, 5592931, 847982, 833025, 1100658, 995785, 914190, 5569230, 934697, 914318, 951590, 994928, 893018, 961554, 15596488, 912817, 1004906, 1038684, 860776, 829001, 850290, 908531, 878996, 883616, 1116821, 1031584, 1013389, 916122, 6034857, 884333, 15596515, 914186, 834631, 962568, 1085604, 1058997, 1107538, 1033142, 866211, 962229, 862349, 826860, 961791, 5978656, 1081177, 1068719, 890610, 946489, 1128744, 1070820, 909349, 903325, 854852, 986912, 1126899, 904360, 1098248, 1127831]"
